"Dataset","Configuration","Replicate","InitialTemperature","CoolingRate","MaxIterations","TotalShifts","FilledShifts","FilledPercentage","ExecutionTimeMs","TotalPenaltyScore"
"large","low-temperature","16","100","0.95","1000","200","200","100","275","0"
"large","low-temperature","17","100","0.95","1000","200","200","100","247","0"
"large","low-temperature","18","100","0.95","1000","200","200","100","537","0"
"large","low-temperature","19","100","0.95","1000","200","200","100","182","0"
"large","low-temperature","20","100","0.95","1000","200","200","100","630","0"
"large","low-temperature","21","100","0.95","1000","200","200","100","830","0"
"large","low-temperature","22","100","0.95","1000","200","200","100","139","0"
"large","low-temperature","23","100","0.95","1000","200","200","100","287","0"
"large","low-temperature","24","100","0.95","1000","200","200","100","127","0"
"large","low-temperature","25","100","0.95","1000","200","200","100","152","0"
"large","low-temperature","26","100","0.95","1000","200","200","100","342","0"
"large","low-temperature","27","100","0.95","1000","200","200","100","457","0"
"large","low-temperature","28","100","0.95","1000","200","200","100","274","0"
"large","low-temperature","29","100","0.95","1000","200","200","100","161","0"
"large","low-temperature","30","100","0.95","1000","200","200","100","506","0"
"large","fast-cooling","1","1000","0.8","1000","200","200","100","126","0"
"large","fast-cooling","2","1000","0.8","1000","200","200","100","159","0"
"large","fast-cooling","3","1000","0.8","1000","200","200","100","154","0"
"large","fast-cooling","4","1000","0.8","1000","200","200","100","128","0"
"large","fast-cooling","5","1000","0.8","1000","200","200","100","204","0"
"large","fast-cooling","6","1000","0.8","1000","200","200","100","134","0"
"large","fast-cooling","7","1000","0.8","1000","200","200","100","492","0"
"large","fast-cooling","8","1000","0.8","1000","200","200","100","232","0"
"large","fast-cooling","9","1000","0.8","1000","200","200","100","125","0"
"large","fast-cooling","10","1000","0.8","1000","200","200","100","483","0"
"large","fast-cooling","11","1000","0.8","1000","200","200","100","147","0"
"large","fast-cooling","12","1000","0.8","1000","200","200","100","187","0"
"large","fast-cooling","13","1000","0.8","1000","200","200","100","555","0"
"large","fast-cooling","14","1000","0.8","1000","200","200","100","182","0"
"large","fast-cooling","15","1000","0.8","1000","200","200","100","192","0"
"large","fast-cooling","16","1000","0.8","1000","200","200","100","439","0"
"large","fast-cooling","17","1000","0.8","1000","200","200","100","150","0"
"large","fast-cooling","18","1000","0.8","1000","200","200","100","134","0"
"large","fast-cooling","19","1000","0.8","1000","200","200","100","472","0"
"large","fast-cooling","20","1000","0.8","1000","200","200","100","185","0"
"large","fast-cooling","21","1000","0.8","1000","200","200","100","141","0"
"large","fast-cooling","22","1000","0.8","1000","200","200","100","172","0"
"large","fast-cooling","23","1000","0.8","1000","200","200","100","391","0"
"large","fast-cooling","24","1000","0.8","1000","200","200","100","179","0"
"large","fast-cooling","25","1000","0.8","1000","200","200","100","308","0"
"large","fast-cooling","26","1000","0.8","1000","200","200","100","389","0"
"large","fast-cooling","27","1000","0.8","1000","200","200","100","182","0"
"large","fast-cooling","28","1000","0.8","1000","200","200","100","212","0"
"large","fast-cooling","29","1000","0.8","1000","200","200","100","361","0"
"large","fast-cooling","30","1000","0.8","1000","200","200","100","154","0"
"large","short-search","1","1000","0.95","100","200","200","100","33","80"
"large","short-search","2","1000","0.95","100","200","200","100","32","0"
"large","short-search","3","1000","0.95","100","200","200","100","46","160"
"large","short-search","4","1000","0.95","100","200","200","100","19","480"
"large","short-search","5","1000","0.95","100","200","200","100","29","240"
"large","short-search","6","1000","0.95","100","200","200","100","22","400"
"large","short-search","7","1000","0.95","100","200","200","100","25","270"
"large","short-search","8","1000","0.95","100","200","200","100","70","80"
"large","short-search","9","1000","0.95","100","200","200","100","34","80"
"large","short-search","10","1000","0.95","100","200","200","100","35","160"
"large","short-search","11","1000","0.95","100","200","200","100","20","160"
"large","short-search","12","1000","0.95","100","200","200","100","27","80"
"large","short-search","13","1000","0.95","100","200","200","100","41","80"
"large","short-search","14","1000","0.95","100","200","200","100","25","0"
"large","short-search","15","1000","0.95","100","200","200","100","58","240"
"large","short-search","16","1000","0.95","100","200","200","100","26","0"
"large","short-search","17","1000","0.95","100","200","200","100","26","0"
"large","short-search","18","1000","0.95","100","200","200","100","23","160"
"large","short-search","19","1000","0.95","100","200","200","100","19","240"
"large","short-search","20","1000","0.95","100","200","200","100","33","110"
"large","short-search","21","1000","0.95","100","200","200","100","26","160"
"large","short-search","22","1000","0.95","100","200","200","100","34","270"
"large","short-search","23","1000","0.95","100","200","200","100","23","0"
"large","short-search","24","1000","0.95","100","200","200","100","25","0"
"large","short-search","25","1000","0.95","100","200","200","100","22","270"
"large","short-search","26","1000","0.95","100","200","200","100","34","80"
"large","short-search","27","1000","0.95","100","200","200","100","34","80"
"large","short-search","28","1000","0.95","100","200","200","100","25","240"
"large","short-search","29","1000","0.95","100","200","200","100","23","80"
"large","short-search","30","1000","0.95","100","200","200","100","20","320"
